num,size,question,1,2,3,answer,primeInCorrect,primeCorrect,versusBIg,quantityCorrect,secondTime,operationsSecondTIme,restriction,restriction2,restriction3,restriction4,restriction5
1,big,クエは地方によって呼び名が違いますが、九州地方での呼び名は何というでしょう？,アラ,ヤダ,モウ,1,180000,200000,,,,,,,,,
2,big,日本ではカツオは初鰹・戻り鰹と名前を変えて 1 年に2 度、季節の風物詩として楽しまれているが、初鰹と戻り鰹の特徴的な違いはなに?,目の色,性別,身の脂,3,23000,26000,,,,,,,,,
3,big,ブリはタイなどと同じくおめでたい魚といわれ、地域によってお正月のときに食べられることもあるが、それはなぜ？,回遊魚だから,出世魚だから,きれいだから,2,20000,25000,,,,,,,,,
4,mid,スマは愛南町で養殖されていますが、そのスマは何と呼ばれているでしょうか？,ヒメスマ,アイマス,オウジマス,1,6000,8000,,,,,,,,,
5,mid,天然でとれたタイと養殖で育ったタイの違いはなに？,胃の数,色,歯の色,2,6500,8000,,,,,,,,,
6,mid,「左ヒラメと右カレイ」と言われるように、目の位置でヒラメとカレイの区別はできるが、他にも区別できる特徴がある。それはなに？,口の大きさ,住む場所,大きさ,1,6000,7000,,,,,,,,,
7,small,人間とアジで数が同じである臓器はどれ？,心臓,卵巣,腎臓,1,230,430,230000,1000,,,,,,,
8,small,イワシを漢字で書く時のつくりには何の漢字が入る？,酒,弱,強,2,150,350,300000,2000,,,,,,,
9,small,ヤマトカマスの別名で「○○カマス」と呼ばれることがありますが、〇〇に入る言葉は何でしょう？,お茶,ラテ,ミズ,3,150,250,300000,2000,,,,,,,
10,none,イセエビの季語はどれ？,節分,クリスマス,新年,3,10000,15000,,,,,,,,,
11,,SDGsで誓われている言葉の（？）に入る文字はどれ？leave no one（？）：リーブ ノー ワン（？）,behind（ビハインド）,before（ビフォア）,after（アフター）,1,2000,,,,5000,+,,,,,
12,,トロール漁業で使うものはなに？,地引網,定置網,底引き網,3,,,,10,1,-,,,,,
13,,栽培漁業どこまで人の手で魚を育てるでしょう？,卵,稚魚,成魚,2,,,,2,,,,,,,
14,,じゃこ天には栄養が豊富に含まれています。五大栄養素は炭水化物、脂質、ミネラル、タンパク質とあと一つはなんでしょう？,食物繊維,ビタミン,ソーダ,2,10000,,,,,,7,8,9,,
15,,豊漁の意味は何？,一度にたくさん獲れること,ある期間内にたくさんとれること,船長の好きな魚がたくさんとれること,2,,,,5,,,7,8,9,4,
16,,青魚を焼くとき、青魚は臭みが強いため、その臭みをとるために何をかけて焼くでしょうか？,酒と塩,砂糖と水,はちみつと水あめ,1,4000,,,,,,1,5,6,,
17,,白身魚のムニエルは香ばしく、ほろほろとして食感が楽しめるおいしい料理だが、ムニエルとは何をつけてバターで焼いたものでしょうか？,小麦粉,片栗粉,ベーキングパウダー,1,5000,,,,,,2,3,4,7,8
18,,魚の味や食感などは、魚に含まれるミオグロビンともう一つは何によって決まるのでしょうか？,ミドリムシ,ミトコンドリア,ヘモグロビン,3,3000,,,,,,5,7,,,
19,,さつま飯のような地域に根付いた産物を使い、独自の調理法で作られたものを何料理というでしょうか？,手料理,中華料理,郷土料理,3,6000,,,,,,,,,,
20,,海中でとある生物が異常に繫殖して発生する赤潮ですが、その生物とは何？,タイ,テントウムシ,プランクトン,3,,,,0,,,,,,,
